Thema,Deutsch,Englisch
Allgemein,Baum,tree
Allgemein,laufen,walk
Allgemein,Ja,yes
Allgemein,Nein,no
Allgemein,Vielleicht,maybe
Allgemein,Bitte,please
Allgemein,Danke,thank you
Allgemein,Entschuldigung,sorry
Allgemein,Alles klar,alright
Begrüssung,Hallo,Hello
Begrüssung,Guten Morgen,Good morning
Begrüssung,Guten Tag,Good afternoon
Begrüssung,Guten Abend,Good evening
Begrüssung,Gute Nacht,Good night
Begrüssung,Tschüss,Goodbye
Begrüssung,Auf Wiedersehen,See you
Begrüssung,Wie geht es Ihnen?,How are you?
Begrüssung,gut,well / good
Begrüssung,schlecht,bad
Wegbeschreibung,links,left
Wegbeschreibung,rechts,right
Wegbeschreibung,hier,here
Wegbeschreibung,dort,there
Wegbeschreibung,zurück,back
Wegbeschreibung,hoch,up
Wegbeschreibung,runter,down
Wegbeschreibung,geradeaus,straight on
Wegbeschreibung,Ort,place
Wegbeschreibung,Wo ist?,Where is ..?
Wegbeschreibung,weit,far
Wegbeschreibung,in der Nähe von,near
Wegbeschreibung,gegenüber von,across from
Wegbeschreibung,vorbeigehen,go past
Wegbeschreibung,zwischen,between
Zeiten/Daten,jetzt,now
Zeiten/Daten,heute,today
Zeiten/Daten,morgen,tomorrow
Zeiten/Daten,gestern,yesterday
Zeiten/Daten,Sekunde,second
Zeiten/Daten,Minute,minute
Zeiten/Daten,Stunde,hour
Zeiten/Daten,Tag,day
Zeiten/Daten,Woche,week
Zeiten/Daten,Monat,month
Zeiten/Daten,Jahr,year
Zeiten/Daten,früh,early
Zeiten/Daten,spät,late
Zeiten/Daten,Montag,Monday
Zeiten/Daten,Dienstag,Tuesday
Zeiten/Daten,Mittwoch,Wednesday
Zeiten/Daten,Donnerstag,Thursday
Zeiten/Daten,Freitag,Friday
Zeiten/Daten,Samstag,Saturday
Zeiten/Daten,Sonntag,Sunday
Zeiten/Daten,Frühling,spring
Zeiten/Daten,Sommer,summer
Zeiten/Daten,Herbst,fall (amerik.) / autumn (brit.)
Zeiten/Daten,Winter,winter
Zeiten/Daten,Januar,January
Zeiten/Daten,Februar,February
Zeiten/Daten,März,March
Zeiten/Daten,April,April
Zeiten/Daten,Mai,May
Zeiten/Daten,Juni,June
Zeiten/Daten,Juli,July
Zeiten/Daten,August,August
Zeiten/Daten,September,September
Zeiten/Daten,Oktober,October
Zeiten/Daten,November,November
Zeiten/Daten,Dezember,December
Zeiten/Daten,Uhrzeit,time
Zeiten/Daten,Wie spät ist es?,What time is it?
Zeiten/Daten,Jahrzehnt,decade
Zeiten/Daten,Jahrhundert,century
Einkaufen,teuer,expensive
Einkaufen,billig,cheap
Einkaufen,kostenlos,free
Einkaufen,Wie viel kostet das?,How much is that?
Einkaufen,Kassierer,cashier
Einkaufen,Trolley / Warenkorb,trolley/shopping cart
Einkaufen,Tasche,bag
Restaurant ,Frühstück,breakfast
Restaurant ,Mittagsessen,lunch
Restaurant ,Abendessen,dinner
Restaurant ,Besteck,cutlery
Restaurant ,Serviette,napkin
Restaurant ,Brunch,brunch
Restaurant ,Hauptgang,main course
Restaurant ,Dessert,dessert
Restaurant ,Trinkgeld,tip
Restaurant ,Beilage,side dish
Restaurant ,Getränke,beverages
Zahlen,Eins,one
Zahlen,Zwei,two
Zahlen,Drei,three
Zahlen,Vier,four
Zahlen,Fünf,five
Zahlen,Sechs,six
Zahlen,Sieben,seven
Zahlen,Acht,eight
Zahlen,Neun,nine
Zahlen,Zehn,ten
Zahlen,Elf,eleven
Zahlen,Zwölf,twelve
Zahlen,Dreizehn,thirteen
Zahlen,Vierzehn,fourteen
Zahlen,Fünfzehn,fifteen
Zahlen,Sechszehn,sixteen
Zahlen,Sechszehn,sixteen
Zahlen,Siebzehn,seventeen
Zahlen,Achtzehn,eighteen
Zahlen,Neunzehn,nineteen
Zahlen,Zwanzig,twenty
Zahlen,Dreißig,thirty
Zahlen,Vierzig,fourty
Zahlen,Fünfzig,fifty
Zahlen,Sechszig,sixty
Zahlen,Siebzieg,seventy
Zahlen,Achzig,eighty
Zahlen,Neunzig,ninety
Zahlen,Hundert,hundred
Zahlen,Zweihundert,two hundred
Zahlen,Million,million
Zahlen,Milliarde,billion
Zahlen,erste(r),first
Zahlen,zweite(r),second
Zahlen,dritte(r),third
Zahlen,vierte(r),fourth
Zahlen,fünfte(r),fifth
Zahlen,sechste(r),sixth
Zahlen,siebte(r),seventh
Prsonalpronomen,ich,I
Prsonalpronomen,du,you
Prsonalpronomen,er,he
Prsonalpronomen,sie,she
Prsonalpronomen,es,it
Prsonalpronomen,wir,we
Prsonalpronomen,ihr,you
Prsonalpronomen,sie,they
wichtige Wörter,Ding,thing
wichtige Wörter,sicher,sure
wichtige Wörter,der/die/das,the
wichtige Wörter,und,and
wichtige Wörter,oder,or
wichtige Wörter,weil,because
wichtige Wörter,Leben,life
wichtige Wörter,Regierung,government
wichtige Wörter,Kind,child
wichtige Wörter,Firma,company
wichtige Wörter,Gruppe,group
wichtige Wörter,Alter,age
wichtige Wörter,Mond,moon
wichtige Wörter,Sonne,sun
wichtige Wörter,Auto,car
wichtige Wörter,Buch,book
wichtige Wörter,Welt,world
wichtige Wörter,Familie,family
wichtige Wörter,Freund,friend
wichtige Wörter,Gesetz,law
Mensch/Körper,Mann,man
Mensch/Körper,Frau,woman
Mensch/Körper,Junge,boy
Mensch/Körper,Mädchen,girl
Mensch/Körper,Arm,arm
Mensch/Körper,Hand,hand
Mensch/Körper,Bein,leg
Mensch/Körper,Fuß,foot
Mensch/Körper,Auge,eye
Mensch/Körper,Kopf,head
Mensch/Körper,Gehirn,brain
Mensch/Körper,Nase,nose
Mensch/Körper,Ohr,ear
Mensch/Körper,Haar,hair
Mensch/Körper,Augenbraue,eyebrow
Mensch/Körper,Lippen,lips
Mensch/Körper,Finger,finger
Mensch/Körper,Skelett,skeleton
Mensch/Körper,Knochen,bones
Verben,sein,to be
Verben,bekommen,to get
Verben,geben,to give
Verben,leben,to live
Verben,machen,to make
Verben,gehen,to walk
Verben,benutzen,to use
Verben,essen,to eat
Verben,denken,to think
Verben,kommen,to come
Verben,haben,to have
Verben,tun,to do
Verben,sagen,to say
Verben,gehen,to go
Verben,wissen,to know
Verben,sehen,to see
Verben,wollen,to want
Verben,finden,to find
Verben,erzählen,to tell
Verben,fragen,to ask
Verben,versuchen,to try
Verben,anrufen,to call
Adjektive,schön,beautiful
Adjektive,hässlich,ugly
Adjektive,hoch,tall
Adjektive,klein,small
Adjektive,groß,big
Adjektive,neu,new
Adjektive,lang,long
Adjektive,großartig,great
Adjektive,alt,old
Adjektive,jung,young
Adjektive,anders,different
Adjektive,wichtig,important
Adjektive,schlecht,bad
Adjektive,lustig,funny
Adjektive,ernst,serious
Adjektive,stark,strong
Adjektive,einfach,easy
Adjektive,schwer,difficult
Adjektive,arm,poor
Adjektive,reich,rich
